traj_id,文件名,bean_code,drop_code,①号位豆子,②号位豆子,③号位豆子,数字1在几号位,数字2在几号位,数字3在几号位,数字4在几号位,数字5在几号位
112,P0112.BIN,1,52,黄豆,白芸豆,绿豆,⑧号位,⑤号位,⑥号位,④号位,⑦号位
113,P0113.BIN,1,53,黄豆,白芸豆,绿豆,⑧号位,⑤号位,⑦号位,④号位,⑥号位
114,P0114.BIN,1,54,黄豆,白芸豆,绿豆,⑧号位,⑥号位,④号位,⑤号位,⑦号位
115,P0115.BIN,1,55,黄豆,白芸豆,绿豆,⑧号位,⑥号位,⑤号位,④号位,⑦号位
116,P0116.BIN,1,56,黄豆,白芸豆,绿豆,⑧号位,⑥号位,⑦号位,④号位,⑤号位
117,P0117.BIN,1,57,黄豆,白芸豆,绿豆,⑧号位,⑦号位,④号位,⑤号位,⑥号位
118,P0118.BIN,1,58,黄豆,白芸豆,绿豆,⑧号位,⑦号位,⑤号位,④号位,⑥号位
119,P0119.BIN,1,59,黄豆,白芸豆,绿豆,⑧号位,⑦号位,⑥号位,④号位,⑤号位
120,P0120.BIN,2,0,绿豆,黄豆,白芸豆,④号位,⑤号位,⑥号位,⑦号位,⑧号位
121,P0121.BIN,2,1,绿豆,黄豆,白芸豆,④号位,⑤号位,⑦号位,⑥号位,⑧号位
122,P0122.BIN,2,2,绿豆,黄豆,白芸豆,④号位,⑤号位,⑧号位,⑥号位,⑦号位
123,P0123.BIN,2,3,绿豆,黄豆,白芸豆,④号位,⑥号位,⑤号位,⑦号位,⑧号位
124,P0124.BIN,2,4,绿豆,黄豆,白芸豆,④号位,⑥号位,⑦号位,⑤号位,⑧号位
125,P0125.BIN,2,5,绿豆,黄豆,白芸豆,④号位,⑥号位,⑧号位,⑤号位,⑦号位
126,P0126.BIN,2,6,绿豆,黄豆,白芸豆,④号位,⑦号位,⑤号位,⑥号位,⑧号位
127,P0127.BIN,2,7,绿豆,黄豆,白芸豆,④号位,⑦号位,⑥号位,⑤号位,⑧号位
128,P0128.BIN,2,8,绿豆,黄豆,白芸豆,④号位,⑦号位,⑧号位,⑤号位,⑥号位
129,P0129.BIN,2,9,绿豆,黄豆,白芸豆,④号位,⑧号位,⑤号位,⑥号位,⑦号位
130,P0130.BIN,2,10,绿豆,黄豆,白芸豆,④号位,⑧号位,⑥号位,⑤号位,⑦号位
131,P0131.BIN,2,11,绿豆,黄豆,白芸豆,④号位,⑧号位,⑦号位,⑤号位,⑥号位
132,P0132.BIN,2,12,绿豆,黄豆,白芸豆,⑤号位,④号位,⑥号位,⑦号位,⑧号位
133,P0133.BIN,2,13,绿豆,黄豆,白芸豆,⑤号位,④号位,⑦号位,⑥号位,⑧号位
134,P0134.BIN,2,14,绿豆,黄豆,白芸豆,⑤号位,④号位,⑧号位,⑥号位,⑦号位
135,P0135.BIN,2,15,绿豆,黄豆,白芸豆,⑤号位,⑥号位,④号位,⑦号位,⑧号位
136,P0136.BIN,2,16,绿豆,黄豆,白芸豆,⑤号位,⑥号位,⑦号位,④号位,⑧号位
137,P0137.BIN,2,17,绿豆,黄豆,白芸豆,⑤号位,⑥号位,⑧号位,④号位,⑦号位
138,P0138.BIN,2,18,绿豆,黄豆,白芸豆,⑤号位,⑦号位,④号位,⑥号位,⑧号位
139,P0139.BIN,2,19,绿豆,黄豆,白芸豆,⑤号位,⑦号位,⑥号位,④号位,⑧号位
140,P0140.BIN,2,20,绿豆,黄豆,白芸豆,⑤号位,⑦号位,⑧号位,④号位,⑥号位
141,P0141.BIN,2,21,绿豆,黄豆,白芸豆,⑤号位,⑧号位,④号位,⑥号位,⑦号位
142,P0142.BIN,2,22,绿豆,黄豆,白芸豆,⑤号位,⑧号位,⑥号位,④号位,⑦号位
143,P0143.BIN,2,23,绿豆,黄豆,白芸豆,⑤号位,⑧号位,⑦号位,④号位,⑥号位
144,P0144.BIN,2,24,绿豆,黄豆,白芸豆,⑥号位,④号位,⑤号位,⑦号位,⑧号位
145,P0145.BIN,2,25,绿豆,黄豆,白芸豆,⑥号位,④号位,⑦号位,⑤号位,⑧号位
146,P0146.BIN,2,26,绿豆,黄豆,白芸豆,⑥号位,④号位,⑧号位,⑤号位,⑦号位
147,P0147.BIN,2,27,绿豆,黄豆,白芸豆,⑥号位,⑤号位,④号位,⑦号位,⑧号位
148,P0148.BIN,2,28,绿豆,黄豆,白芸豆,⑥号位,⑤号位,⑦号位,④号位,⑧号位
149,P0149.BIN,2,29,绿豆,黄豆,白芸豆,⑥号位,⑤号位,⑧号位,④号位,⑦号位
150,P0150.BIN,2,30,绿豆,黄豆,白芸豆,⑥号位,⑦号位,④号位,⑤号位,⑧号位
151,P0151.BIN,2,31,绿豆,黄豆,白芸豆,⑥号位,⑦号位,⑤号位,④号位,⑧号位
152,P0152.BIN,2,32,绿豆,黄豆,白芸豆,⑥号位,⑦号位,⑧号位,④号位,⑤号位
153,P0153.BIN,2,33,绿豆,黄豆,白芸豆,⑥号位,⑧号位,④号位,⑤号位,⑦号位
154,P0154.BIN,2,34,绿豆,黄豆,白芸豆,⑥号位,⑧号位,⑤号位,④号位,⑦号位
155,P0155.BIN,2,35,绿豆,黄豆,白芸豆,⑥号位,⑧号位,⑦号位,④号位,⑤号位
156,P0156.BIN,2,36,绿豆,黄豆,白芸豆,⑦号位,④号位,⑤号位,⑥号位,⑧号位
157,P0157.BIN,2,37,绿豆,黄豆,白芸豆,⑦号位,④号位,⑥号位,⑤号位,⑧号位
158,P0158.BIN,2,38,绿豆,黄豆,白芸豆,⑦号位,④号位,⑧号位,⑤号位,⑥号位
159,P0159.BIN,2,39,绿豆,黄豆,白芸豆,⑦号位,⑤号位,④号位,⑥号位,⑧号位
160,P0160.BIN,2,40,绿豆,黄豆,白芸豆,⑦号位,⑤号位,⑥号位,④号位,⑧号位
161,P0161.BIN,2,41,绿豆,黄豆,白芸豆,⑦号位,⑤号位,⑧号位,④号位,⑥号位
162,P0162.BIN,2,42,绿豆,黄豆,白芸豆,⑦号位,⑥号位,④号位,⑤号位,⑧号位
163,P0163.BIN,2,43,绿豆,黄豆,白芸豆,⑦号位,⑥号位,⑤号位,④号位,⑧号位
164,P0164.BIN,2,44,绿豆,黄豆,白芸豆,⑦号位,⑥号位,⑧号位,④号位,⑤号位
165,P0165.BIN,2,45,绿豆,黄豆,白芸豆,⑦号位,⑧号位,④号位,⑤号位,⑥号位
166,P0166.BIN,2,46,绿豆,黄豆,白芸豆,⑦号位,⑧号位,⑤号位,④号位,⑥号位
167,P0167.BIN,2,47,绿豆,黄豆,白芸豆,⑦号位,⑧号位,⑥号位,④号位,⑤号位
168,P0168.BIN,2,48,绿豆,黄豆,白芸豆,⑧号位,④号位,⑤号位,⑥号位,⑦号位
169,P0169.BIN,2,49,绿豆,黄豆,白芸豆,⑧号位,④号位,⑥号位,⑤号位,⑦号位
170,P0170.BIN,2,50,绿豆,黄豆,白芸豆,⑧号位,④号位,⑦号位,⑤号位,⑥号位
171,P0171.BIN,2,51,绿豆,黄豆,白芸豆,⑧号位,⑤号位,④号位,⑥号位,⑦号位
172,P0172.BIN,2,52,绿豆,黄豆,白芸豆,⑧号位,⑤号位,⑥号位,④号位,⑦号位
